1,2
1,10
1,14
2,3
2,4
2,5
6,7
6,8
6,9
10,11
10,12
10,13
14,15
5,7
2,1,10
2,1,14
1,2,3
1,2,4
1,2,5
10,1,14
1,10,11
1,10,12
1,10,13
1,14,15
3,2,4
3,2,5
4,2,5
2,5,7
7,6,8
7,6,9
6,7,5
8,6,9
11,10,12
11,10,13
12,10,13
2,10,14,1
10,1,2,3
10,1,2,4
10,1,2,5
2,1,10,11
2,1,10,12
2,1,10,13
14,1,2,3
14,1,2,4
14,1,2,5
2,1,14,15
1,3,4,2
1,3,5,2
1,4,5,2
1,2,5,7
14,1,10,11
14,1,10,12
14,1,10,13
10,1,14,15
1,11,12,10
1,11,13,10
1,12,13,10
3,4,5,2
3,2,5,7
4,2,5,7
2,5,7,6
7,8,9,6
8,6,7,5
9,6,7,5
11,12,13,10
